,substation,month,precip_mm,tmax_C,tmin_C,wind_mps,tree coverage (yearly),number of  poles (yearly),operation and maintnance spending (quarterly),CAIDI,SAIDI,SAIFI
0,Bridgeport,2014-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,94092000.0,46.90637227,0.070622546,0.001495607
1,Bridgeport,2014-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,94092000.0,0.0,0.0,0.0
2,Bridgeport,2014-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,94092000.0,95.17416201,0.125501963,0.001308656
3,Bridgeport,2014-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,88171000.0,104.2167908,0.332260236,0.003178164
4,Bridgeport,2014-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,88171000.0,144.9657804,0.028551131,0.000186951
5,Bridgeport,2014-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,88171000.0,446.3107336,11.01830062,0.02467751
6,Bridgeport,2014-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,72076000.0,101.5736967,1.577126566,0.015516919
7,Bridgeport,2014-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,72076000.0,57.58993066,0.075941297,0.001308656
8,Bridgeport,2014-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,72076000.0,66.08880239,0.569007291,0.008599738
9,Bridgeport,2014-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,77841000.0,55.52499467,0.062837914,0.001121705
10,Bridgeport,2014-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,77841000.0,67.29006544,0.126472238,0.001869508
11,Bridgeport,2014-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.63569172,3008.0,77841000.0,27.37256772,1.008386614,0.036829314
12,Bridgeport,2015-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,86258000.0,102.4241959,0.326545149,0.003178164
13,Bridgeport,2015-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,86258000.0,34.2964858,1.814870069,0.052907085
14,Bridgeport,2015-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,86258000.0,88.58234606,0.08368854,0.000934754
15,Bridgeport,2015-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,95587000.0,110.145744,6.734632642,0.061132922
16,Bridgeport,2015-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,95587000.0,79.34306264,0.223292204,0.002804262
17,Bridgeport,2015-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,95587000.0,172.4932427,10.67573191,0.061880725
18,Bridgeport,2015-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,84743000.0,291.9176621,0.112067676,0.000373902
19,Bridgeport,2015-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,84743000.0,74.06809747,0.014587773,0.000186951
20,Bridgeport,2015-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,84743000.0,0.0,0.0,0.0
21,Bridgeport,2015-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,88703000.0,63.84961152,15.21997944,0.238362311
22,Bridgeport,2015-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,88703000.0,363.7435512,3.131736773,0.008599738
23,Bridgeport,2015-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.49150623,3008.0,88703000.0,82.7012619,0.078132361,0.000934754
24,Bridgeport,2016-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,86258000.0,94.75761792,0.213527762,0.00224341
25,Bridgeport,2016-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,86258000.0,184.6789829,0.968571696,0.005234623
26,Bridgeport,2016-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,86258000.0,0.0,0.0,0.0
27,Bridgeport,2016-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,96689000.0,214.433203,10.26479155,0.047859413
28,Bridgeport,2016-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,96689000.0,560.0906072,13.93195177,0.024864461
29,Bridgeport,2016-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,96689000.0,91.60481123,6.799777529,0.07421948
30,Bridgeport,2016-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,85466000.0,320.7767584,1.082658441,0.003365115
31,Bridgeport,2016-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,85466000.0,53.97820246,0.434464386,0.008038886
32,Bridgeport,2016-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,85466000.0,439.6223015,0.168771733,0.000373902
33,Bridgeport,2016-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,106632000.0,84.6940779,0.349186764,0.004112918
34,Bridgeport,2016-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,106632000.0,83.18620318,2.784591512,0.033464199
35,Bridgeport,2016-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.81587888,3008.0,106632000.0,200.926228,0.077135913,0.000373902
36,Bridgeport,2017-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,94487000.0,56.42364983,0.063854926,0.001121705
37,Bridgeport,2017-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,94487000.0,0.0,0.0,0.0
38,Bridgeport,2017-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,94487000.0,73.74500336,1.558633389,0.021125444
39,Bridgeport,2017-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,98238000.0,36.79567837,3.21285287,0.087306039
40,Bridgeport,2017-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,98238000.0,86.03994009,0.612099458,0.007104132
41,Bridgeport,2017-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,98238000.0,112.4522488,1.262507011,0.01121705
42,Bridgeport,2017-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,93035000.0,133.6052468,0.351022621,0.002617312
43,Bridgeport,2017-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,93035000.0,132.0417654,0.939362498,0.007104132
44,Bridgeport,2017-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,93035000.0,0.0,0.0,0.0
45,Bridgeport,2017-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,97479000.0,37.37353755,0.258893251,0.006917181
46,Bridgeport,2017-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,97479000.0,90.90562153,0.204847635,0.00224341
47,Bridgeport,2017-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.74041843,3008.0,97479000.0,0.0,0.0,0.0
48,Bridgeport,2018-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,101841000.0,56.14976992,0.158020191,0.002804262
49,Bridgeport,2018-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,101841000.0,0.0,0.0,0.0
50,Bridgeport,2018-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,101841000.0,45.55048374,2.878762385,0.063189381
51,Bridgeport,2018-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,103900000.0,115.9953358,0.673408114,0.005795476
52,Bridgeport,2018-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,103900000.0,106.7158837,0.040968405,0.000373902
53,Bridgeport,2018-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,103900000.0,12.12935226,2.061362872,0.169938306
54,Bridgeport,2018-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,109644000.0,82.65976624,15.96409796,0.193120209
55,Bridgeport,2018-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,109644000.0,124.2888818,1.418633389,0.011404001
56,Bridgeport,2018-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,109644000.0,120.9931712,1.200057955,0.009908394
57,Bridgeport,2018-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,116235000.0,185.5863834,0.452897738,0.002430361
58,Bridgeport,2018-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,116235000.0,141.9748305,5.36296691,0.037764068
59,Bridgeport,2018-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,15.88633248,3008.0,116235000.0,58.31805671,0.109609273,0.001869508
60,Bridgeport,2019-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,102146000.0,0.0,0.0,0.0
61,Bridgeport,2019-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,102146000.0,137.0017751,0.026982614,0.000186951
62,Bridgeport,2019-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,102146000.0,82.58634281,0.201540475,0.002430361
63,Bridgeport,2019-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,113661000.0,339.9092171,0.956593756,0.002804262
64,Bridgeport,2019-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,113661000.0,86.26293876,0.581432043,0.00673023
65,Bridgeport,2019-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,113661000.0,89.86479967,3.512161152,0.039072724
66,Bridgeport,2019-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,105975000.0,79.12456551,0.932712657,0.011777902
67,Bridgeport,2019-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,105975000.0,177.6019065,1.396294635,0.007851935
68,Bridgeport,2019-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,105975000.0,0.0,0.0,0.0
69,Bridgeport,2019-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,106419000.0,69.89014329,0.144425126,0.002056459
70,Bridgeport,2019-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,106419000.0,142.0768957,1.196683492,0.008412787
71,Bridgeport,2019-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.21308935,3008.0,106419000.0,78.09490645,1.139573752,0.014582165
72,Bridgeport,2020-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,105590000.0,152.321029,0.343241727,0.00224341
73,Bridgeport,2020-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,105590000.0,0.0,0.0,0.0
74,Bridgeport,2020-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,105590000.0,334.2042181,2.127653767,0.006356328
75,Bridgeport,2020-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,94659000.0,99.17594243,0.297648159,0.002991213
76,Bridgeport,2020-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,94659000.0,46.39818093,0.199970088,0.004299869
77,Bridgeport,2020-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,94659000.0,156.0050678,2.276451673,0.014582165
78,Bridgeport,2020-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,100455000.0,203.4249002,0.458399701,0.00224341
79,Bridgeport,2020-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,100455000.0,109.3924162,2.782430361,0.025425313
80,Bridgeport,2020-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,100455000.0,54.04645276,0.202621051,0.003739017
81,Bridgeport,2020-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,115465000.0,308.2025379,6.456378762,0.020938493
82,Bridgeport,2020-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,115465000.0,108.3088568,0.770523462,0.007104132
83,Bridgeport,2020-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.53936937,3008.0,115465000.0,103.948446,0.253671714,0.002430361
84,Bridgeport,2021-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,103949000.0,0.0,0.0,0.0
85,Bridgeport,2021-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,103949000.0,144.9078699,0.651624603,0.00448682
86,Bridgeport,2021-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,103949000.0,65.73075194,0.393886708,0.005982427
87,Bridgeport,2021-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,116381000.0,200.8809994,7.700757151,0.038324921
88,Bridgeport,2021-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,116381000.0,70.34195776,0.184810245,0.002617312
89,Bridgeport,2021-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,116381000.0,61.71428342,34.31325107,0.555991774
90,Bridgeport,2021-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,117045000.0,87.85912866,0.1815573,0.002056459
91,Bridgeport,2021-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,117045000.0,207.5392269,5.08482707,0.024490559
92,Bridgeport,2021-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,117045000.0,117.1587813,20.61183025,0.175920733
93,Bridgeport,2021-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,112371000.0,96.43053396,9.519626098,0.098710039
94,Bridgeport,2021-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,112371000.0,391.8290074,0.66319312,0.001682557
95,Bridgeport,2021-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,16.64552661,3008.0,112371000.0,132.0257661,1.06266031,0.008038886
96,Bridgeport,2022-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,111013000.0,79.2318864,0.015604786,0.000186951
97,Bridgeport,2022-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,111013000.0,27.72687503,2.327696766,0.083940924
98,Bridgeport,2022-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,111013000.0,132.0426466,1.186223593,0.00897364
99,Bridgeport,2022-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,139543000.0,72.58759348,12.30899794,0.169564405
100,Bridgeport,2022-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,139543000.0,6.95343292,0.018268835,0.002617312
101,Bridgeport,2022-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,139543000.0,212.4253292,12.35289587,0.058141709
102,Bridgeport,2022-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,116969000.0,177.290798,41.39945597,0.233501589
103,Bridgeport,2022-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,116969000.0,78.7369581,0.928143578,0.011777902
104,Bridgeport,2022-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,116969000.0,178.6838188,1.070749673,0.005982427
105,Bridgeport,2022-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,126149000.0,267.7384275,1.954780333,0.007291082
106,Bridgeport,2022-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,126149000.0,59.39780045,0.289310151,0.004860722
107,Bridgeport,2022-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.5338260714072,3008.0,126149000.0,0.0,0.0,0.0
108,Bridgeport,2023-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,117899000.0,50.21720447,0.591955506,0.011777902
109,Bridgeport,2023-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,117899000.0,148.5542293,0.223664236,0.001495607
110,Bridgeport,2023-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,117899000.0,48.6793401,0.191600299,0.003925967
111,Bridgeport,2023-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,117629000.0,1416.02673,0.278887643,0.000186951
112,Bridgeport,2023-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,117629000.0,35.05415884,0.039670967,0.001121705
113,Bridgeport,2023-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,117629000.0,145.4879153,1.334210133,0.009160591
114,Bridgeport,2023-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,120858000.0,80.29048015,14.54585343,0.181155356
115,Bridgeport,2023-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,120858000.0,140.9191312,2.056315199,0.014582165
116,Bridgeport,2023-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,120858000.0,96.4603366,0.018997944,0.000186951
117,Bridgeport,2023-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,121494000.0,147.5548885,3.146223593,0.021312395
118,Bridgeport,2023-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,121494000.0,160.9653329,2.709943915,0.016825575
119,Bridgeport,2023-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9898074745186,3008.0,121494000.0,133.2129657,3.313600673,0.024864461
120,Bridgeport,2024-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.630476295826732,3008.0,124625916.8067227,,,
121,Bridgeport,2024-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.651655331103328,3008.0,124973847.24980904,,,
122,Bridgeport,2024-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.672834366379924,3008.0,125321777.69289535,,,
123,Bridgeport,2024-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.694013401656523,3008.0,125669708.13598166,,,
124,Bridgeport,2024-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.71519243693312,3008.0,126017638.579068,,,
125,Bridgeport,2024-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.73637147220972,3008.0,126365569.02215432,,,
126,Bridgeport,2024-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.757550507486314,3008.0,126713499.46524064,,,
127,Bridgeport,2024-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.778729542762914,3008.0,127061429.90832695,,,
128,Bridgeport,2024-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.79990857803951,3008.0,127409360.3514133,,,
129,Bridgeport,2024-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.82108761331611,3008.0,127757290.79449962,,,
130,Bridgeport,2024-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.842266648592705,3008.0,128105221.23758596,,,
131,Bridgeport,2024-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.863445683869305,3008.0,128453151.68067227,,,
132,Bridgeport,2025-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.8846247191459,3008.0,128801082.1237586,,,
133,Bridgeport,2025-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.9058037544225,3008.0,129149012.56684493,,,
134,Bridgeport,2025-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.926982789699096,3008.0,129496943.00993124,,,
135,Bridgeport,2025-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.948161824975692,3008.0,129844873.45301756,,,
136,Bridgeport,2025-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.96934086025229,3008.0,130192803.89610387,,,
137,Bridgeport,2025-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,17.990519895528887,3008.0,130540734.3391902,,,
138,Bridgeport,2025-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.011698930805487,3008.0,130888664.78227654,,,
139,Bridgeport,2025-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.032877966082083,3008.0,131236595.22536288,,,
140,Bridgeport,2025-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.05405700135868,3008.0,131584525.6684492,,,
141,Bridgeport,2025-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.07523603663528,3008.0,131932456.11153552,,,
142,Bridgeport,2025-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.09641507191188,3008.0,132280386.55462185,,,
143,Bridgeport,2025-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.117594107188477,3008.0,132628316.99770816,,,
144,Bridgeport,2026-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.138773142465077,3008.0,132976247.4407945,,,
145,Bridgeport,2026-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.15995217774167,3008.0,133324177.88388082,,,
146,Bridgeport,2026-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.18113121301827,3008.0,133672108.32696716,,,
147,Bridgeport,2026-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.202310248294864,3008.0,134020038.77005348,,,
148,Bridgeport,2026-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.22348928357146,3008.0,134367969.2131398,,,
149,Bridgeport,2026-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.24466831884806,3008.0,134715899.65622613,,,
150,Bridgeport,2026-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.265847354124656,3008.0,135063830.09931245,,,
151,Bridgeport,2026-08,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.28702638940125,3008.0,135411760.54239878,,,
152,Bridgeport,2026-09,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.30820542467785,3008.0,135759690.9854851,,,
153,Bridgeport,2026-10,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.32938445995445,3008.0,136107621.42857143,,,
154,Bridgeport,2026-11,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.350563495231047,3008.0,136455551.87165776,,,
155,Bridgeport,2026-12,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.37174253050765,3008.0,136803482.31474409,,,
156,Bridgeport,2027-01,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.39292156578424,3008.0,137151412.7578304,,,
157,Bridgeport,2027-02,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.41410060106084,3008.0,137499343.20091674,,,
158,Bridgeport,2027-03,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.43527963633744,3008.0,137847273.64400306,,,
159,Bridgeport,2027-04,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.45645867161404,3008.0,138195204.0870894,,,
160,Bridgeport,2027-05,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.477637706890636,3008.0,138543134.53017572,,,
161,Bridgeport,2027-06,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.49881674216723,3008.0,138891064.97326204,,,
162,Bridgeport,2027-07,3.2967921969734024,19.982825930778016,7.395226645461398,2.8064703205220365,18.519995777443828,3008.0,139238995.41634837,,,
